month,day,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,11,0,1,3,0,0,1,0,1,1,2
,12,0,0,3,2,3,1,1,1,3,3
,13,1,1,0,1,1,1,2,2,1,0
,14,1,1,0,0,3,1,2,2,4,3
,15,1,0,1,2,0,1,1,0,0,0
,16,2,0,2,4,2,0,0,3,0,1
,17,0,0,1,0,2,1,2,0,1,1
,18,1,1,1,0,3,0,2,3,2,0
,19,2,0,0,8,1,1,2,0,2,0
,20,3,0,0,1,2,1,0,5,1,4
,21,1,1,0,1,0,1,0,3,1,1
,22,2,2,1,2,0,2,1,3,1,0
,23,1,6,0,0,1,0,3,1,0,1
,24,1,1,0,3,3,1,1,0,0,1
,25,1,2,0,1,0,3,2,2,1,1
,26,2,1,0,0,1,1,0,2,0,0
,27,2,2,2,0,0,1,3,2,5,0
,28,0,2,0,1,0,0,0,3,4,1
,29,2,2,2,1,0,0,0,1,0,0
,30,0,1,2,1,0,0,4,0,0,1
,31,1,0,0,1,3,1,2,0,3,0
,Total,44,34,36,37,38,28,42,44,35,31
June,1,0,1,1,5,1,0,4,2,0,1
,2,1,2,1,1,0,2,5,2,1,1
,3,0,1,0,1,1,1,0,0,2,0
,4,2,3,3,1,1,0,1,0,0,3
,5,0,1,1,4,2,2,1,1,1,1
,6,1,3,2,0,1,1,0,0,0,1
,7,0,3,1,0,0,1,0,3,0,0
,8,2,3,0,1,0,0,1,1,0,2
,9,0,2,1,2,1,0,2,0,1,3
,10,3,2,1,2,1,1,5,1,3,1
,11,1,2,0,0,0,0,0,2,0,0
,12,0,1,1,1,0,0,2,0,1,1
,,,,,,,,,,,
,13,4,2,3,2,2,0,3,0,2,1
,14,1,0,2,1,2,2,0,0,1,2
,15,0,1,0,1,1,3,0,0,1,1
,16,2,2,1,3,3,1,1,3,1,4
,17,0,1,0,1,6,1,1,1,1,1
,18,0,1,0,1,0,1,1,0,0,0
,19,0,2,1,1,1,0,2,2,1,2
,20,1,1,0,0,0,3,3,3,0,0
,21,2,0,4,1,0,1,0,2,0,2
,22,0,1,1,1,2,0,0,0,5,2
,23,1,0,3,5,1,2,0,2,0,1
,24,0,0,0,1,0,3,5,0,0,6
,25,3,0,1,1,1,1,3,0,0,2
,26,1,1,2,3,0,2,1,2,2,0
,27,1,1,0,0,3,1,0,3,1,1
,28,2,0,3,0,0,1,2,3,1,0
,29,1,2,0,3,3,4,0,2,0,0
,30,1,1,0,3,1,0,1,0,0,1
,Total,30,40,33,46,34,34,44,35,25,40
July,1,0,3,3,0,0,1,2,0,2,2
,2,1,6,0,2,0,4,2,2,1,0
,3,1,1,0,2,1,0,0,3,4,0
,4,2,9,3,2,4,1,0,1,4,2
,5,1,0,1,2,4,2,2,0,0,0
,6,0,0,0,1,2,1,1,0,0,0
,7,0,4,0,1,2,0,2,1,1,2
,8,1,0,3,0,3,2,0,0,1,2
,9,1,1,1,1,0,0,0,0,2,1
,10,3,1,1,0,0,0,2,2,3,1
,11,3,3,3,1,2,3,0,3,2,0
,12,1,0,2,0,0,3,0,2,0,2
,13,1,0,1,1,4,2,0,3,1,0
,14,0,1,1,3,2,0,2,0,0,1
,15,0,3,1,2,1,0,1,1,0,2
,16,2,1,1,1,4,1,1,3,0,0
,,,,,,,,,,,
,17,1,2,1,1,2,0,0,3,1,1
,18,0,4,2,0,3,0,1,0,1,2
,19,2,0,0,1,1,3,0,0,0,0
,20,0,0,2,1,6,0,3,2,1,0
,21,1,0,1,1,2,1,1,6,0,3
,22,0,2,1,5,0,0,0,3,0,3
,23,1,3,1,0,0,1,0,1,1,2
,24,1,0,1,0,2,0,0,0,0,0
,25,1,0,0,0,2,5,0,1,2,2
,26,6,0,0,0,1,1,0,0,2,1
,27,1,1,1,1,1,0,1,3,1,0
,28,1,4,1,2,2,1,1,0,2,2
,29,1,1,0,0,3,1,1,0,0,0
,30,3,1,4,2,1,2,1,0,1,0
,31,0,1,2,2,1,0,1,0,0,1
,Total,36,52,38,35,56,35,25,40,33,32
August,1,1,0,2,0,0,1,0,0,2,1
,2,2,0,3,1,0,1,3,0,1,1
,3,1,2,0,2,0,0,0,0,1,1
,4,0,2,0,5,0,1,1,0,0,0
,5,2,0,0,0,0,0,0,0,4,0
,6,2,1,1,1,1,0,2,3,1,1
,7,1,0,0,0,1,0,0,0,0,0
,8,1,2,3,1,3,2,0,0,1,1
,9,2,1,0,0,4,2,1,2,1,1
,10,0,1,2,1,2,0,0,3,0,1
,11,1,3,2,1,2,0,0,0,0,2
,12,1,0,1,1,1,0,0,2,0,0
,13,1,0,3,0,2,2,1,1,0,1
,14,0,4,2,0,0,0,4,2,5,2
,15,0,0,1,0,0,1,1,2,0,2
,16,1,1,1,1,0,3,1,0,3,0
,17,0,1,0,0,1,1,0,0,1,2
,18,2,1,3,1,0,1,2,1,2,1
,19,2,0,2,2,1,2,0,3,0,0
,,,,,,,,,,,
,20,2,1,1,0,1,0,1,2,0,0
,21,0,2,0,1,4,1,1,1,2,0
,22,5,1,1,1,1,2,1,1,2,1
,23,0,1,0,0,0,0,1,3,1,0
,24,1,1,0,2,0,2,0,1,2,0
