group,year,total,level,attainment,count
"25 to 34 Years, Both Sexes",2011,41584,High School: 4 years,High School,11250
"25 to 34 Years, Both Sexes",2011,41584,College: 1 to 3 years,Some College,12046
"25 to 34 Years, Both Sexes",2011,41584,College: 4 years or more,College Degree,13731
"25 to 34 Years, Both Sexes",2010,41085,Elementary: 0 to 4 years,Less than High School,323
"25 to 34 Years, Both Sexes",2010,41085,Elementary: 5 to 8 years,Less than High School,1169
"25 to 34 Years, Both Sexes",2010,41085,High School: 1 to 3 years,Less than High School,3271
"25 to 34 Years, Both Sexes",2010,41085,High School: 4 years,High School,11186
"25 to 34 Years, Both Sexes",2010,41085,College: 1 to 3 years,Some College,11655
"25 to 34 Years, Both Sexes",2010,41085,College: 4 years or more,College Degree,13480
"25 to 34 Years, Both Sexes",2009,40520,Elementary: 0 to 4 years,Less than High School,321
"25 to 34 Years, Both Sexes",2009,40520,Elementary: 5 to 8 years,Less than High School,1226
"25 to 34 Years, Both Sexes",2009,40520,High School: 1 to 3 years,Less than High School,3202
"25 to 34 Years, Both Sexes",2009,40520,High School: 4 years,High School,11351
"25 to 34 Years, Both Sexes",2009,40520,College: 1 to 3 years,Some College,11409
"25 to 34 Years, Both Sexes",2009,40520,College: 4 years or more,College Degree,13010
"25 to 34 Years, Both Sexes",2008,40146,Elementary: 0 to 4 years,Less than High School,282
"25 to 34 Years, Both Sexes",2008,40146,Elementary: 5 to 8 years,Less than High School,1189
"25 to 34 Years, Both Sexes",2008,40146,High School: 1 to 3 years,Less than High School,3296
"25 to 34 Years, Both Sexes",2008,40146,High School: 4 years,High School,11297
"25 to 34 Years, Both Sexes",2008,40146,College: 1 to 3 years,Some College,11113
"25 to 34 Years, Both Sexes",2008,40146,College: 4 years or more,College Degree,12969
"25 to 34 Years, Both Sexes",2007,39868,Elementary: 0 to 4 years,Less than High School,380
"25 to 34 Years, Both Sexes",2007,39868,Elementary: 5 to 8 years,Less than High School,1283
"25 to 34 Years, Both Sexes",2007,39868,High School: 1 to 3 years,Less than High School,3462
"25 to 34 Years, Both Sexes",2007,39868,High School: 4 years,High School,11408
"25 to 34 Years, Both Sexes",2007,39868,College: 1 to 3 years,Some College,10961
"25 to 34 Years, Both Sexes",2007,39868,College: 4 years or more,College Degree,12375
"25 to 34 Years, Both Sexes",2006,39481,Elementary: 0 to 4 years,Less than High School,359
"25 to 34 Years, Both Sexes",2006,39481,Elementary: 5 to 8 years,Less than High School,1410
"25 to 34 Years, Both Sexes",2006,39481,High School: 1 to 3 years,Less than High School,3375
"25 to 34 Years, Both Sexes",2006,39481,High School: 4 years,High School,11302
"25 to 34 Years, Both Sexes",2006,39481,College: 1 to 3 years,Some College,11229
"25 to 34 Years, Both Sexes",2006,39481,College: 4 years or more,College Degree,11806
"25 to 34 Years, Both Sexes",2005,39310,Elementary: 0 to 4 years,Less than High School,414
"25 to 34 Years, Both Sexes",2005,39310,Elementary: 5 to 8 years,Less than High School,1375
"25 to 34 Years, Both Sexes",2005,39310,High School: 1 to 3 years,Less than High School,3422
"25 to 34 Years, Both Sexes",2005,39310,High School: 4 years,High School,11269
"25 to 34 Years, Both Sexes",2005,39310,College: 1 to 3 years,Some College,10865
"25 to 34 Years, Both Sexes",2005,39310,College: 4 years or more,College Degree,11965
"25 to 34 Years, Both Sexes",2004,39201,Elementary: 0 to 4 years,Less than High School,430
"25 to 34 Years, Both Sexes",2004,39201,Elementary: 5 to 8 years,Less than High School,1399
"25 to 34 Years, Both Sexes",2004,39201,High School: 1 to 3 years,Less than High School,3239
"25 to 34 Years, Both Sexes",2004,39201,High School: 4 years,High School,11244
"25 to 34 Years, Both Sexes",2004,39201,College: 1 to 3 years,Some College,11044
"25 to 34 Years, Both Sexes",2004,39201,College: 4 years or more,College Degree,11844
"25 to 34 Years, Both Sexes",2003,39242,Elementary: 0 to 4 years,Less than High School,370
"25 to 34 Years, Both Sexes",2003,39242,Elementary: 5 to 8 years,Less than High School,1370
"25 to 34 Years, Both Sexes",2003,39242,High School: 1 to 3 years,Less than High School,3336
"25 to 34 Years, Both Sexes",2003,39242,High School: 4 years,High School,11392
"25 to 34 Years, Both Sexes",2003,39242,College: 1 to 3 years,Some College,10986
"25 to 34 Years, Both Sexes",2003,39242,College: 4 years or more,College Degree,11791
"25 to 34 Years, Both Sexes",2002,38670,Elementary: 0 to 4 years,Less than High School,433
"25 to 34 Years, Both Sexes",2002,38670,Elementary: 5 to 8 years,Less than High School,1393
"25 to 34 Years, Both Sexes",2002,38670,High School: 1 to 3 years,Less than High School,3245
"25 to 34 Years, Both Sexes",2002,38670,High School: 4 years,High School,10988
"25 to 34 Years, Both Sexes",2002,38670,College: 1 to 3 years,Some College,10776
"25 to 34 Years, Both Sexes",2002,38670,College: 4 years or more,College Degree,11834
"25 to 34 Years, Both Sexes",2001,38865,Elementary: 0 to 4 years,Less than High School,380
"25 to 34 Years, Both Sexes",2001,38865,Elementary: 5 to 8 years,Less than High School,1317
"25 to 34 Years, Both Sexes",2001,38865,High School: 1 to 3 years,Less than High School,3202
"25 to 34 Years, Both Sexes",2001,38865,High School: 4 years,High School,11294
"25 to 34 Years, Both Sexes",2001,38865,College: 1 to 3 years,Some College,11146
"25 to 34 Years, Both Sexes",2001,38865,College: 4 years or more,College Degree,11526
"25 to 34 Years, Both Sexes",2000,37786,Elementary: 0 to 4 years,Less than High School,287
"25 to 34 Years, Both Sexes",2000,37786,Elementary: 5 to 8 years,Less than High School,1135
"25 to 34 Years, Both Sexes",2000,37786,High School: 1 to 3 years,Less than High School,3052
"25 to 34 Years, Both Sexes",2000,37786,High School: 4 years,High School,11546
"25 to 34 Years, Both Sexes",2000,37786,College: 1 to 3 years,Some College,10700
"25 to 34 Years, Both Sexes",2000,37786,College: 4 years or more,College Degree,11066
"25 to 34 Years, Both Sexes",1999,38474,Elementary: 0 to 4 years,Less than High School,280
"25 to 34 Years, Both Sexes",1999,38474,Elementary: 5 to 8 years,Less than High School,1142
"25 to 34 Years, Both Sexes",1999,38474,High School: 1 to 3 years,Less than High School,3296
"25 to 34 Years, Both Sexes",1999,38474,High School: 4 years,High School,11826
"25 to 34 Years, Both Sexes",1999,38474,College: 1 to 3 years,Some College,10893
"25 to 34 Years, Both Sexes",1999,38474,College: 4 years or more,College Degree,11040
"25 to 34 Years, Both Sexes",1998,39354,Elementary: 0 to 4 years,Less than High School,319
"25 to 34 Years, Both Sexes",1998,39354,Elementary: 5 to 8 years,Less than High School,1207
"25 to 34 Years, Both Sexes",1998,39354,High School: 1 to 3 years,Less than High School,3228
"25 to 34 Years, Both Sexes",1998,39354,High School: 4 years,High School,12569
"25 to 34 Years, Both Sexes",1998,39354,College: 1 to 3 years,Some College,11220
"25 to 34 Years, Both Sexes",1998,39354,College: 4 years or more,College Degree,10811
"25 to 34 Years, Both Sexes",1997,40256,Elementary: 0 to 4 years,Less than High School,334
"25 to 34 Years, Both Sexes",1997,40256,Elementary: 5 to 8 years,Less than High School,1163
"25 to 34 Years, Both Sexes",1997,40256,High School: 1 to 3 years,Less than High School,3624
"25 to 34 Years, Both Sexes",1997,40256,High School: 4 years,High School,12710
"25 to 34 Years, Both Sexes",1997,40256,College: 1 to 3 years,Some College,11524
"25 to 34 Years, Both Sexes",1997,40256,College: 4 years or more,College Degree,10892
"25 to 34 Years, Both Sexes",1996,40919,Elementary: 0 to 4 years,Less than High School,418
"25 to 34 Years, Both Sexes",1996,40919,Elementary: 5 to 8 years,Less than High School,1169
"25 to 34 Years, Both Sexes",1996,40919,High School: 1 to 3 years,Less than High School,3780
"25 to 34 Years, Both Sexes",1996,40919,High School: 4 years,High School,13087
"25 to 34 Years, Both Sexes",1996,40919,College: 1 to 3 years,Some College,11624
"25 to 34 Years, Both Sexes",1996,40919,College: 4 years or more,College Degree,10841
"25 to 34 Years, Both Sexes",1995,41388,Elementary: 0 to 4 years,Less than High School,394
"25 to 34 Years, Both Sexes",1995,41388,Elementary: 5 to 8 years,Less than High School,1264
"25 to 34 Years, Both Sexes",1995,41388,High School: 1 to 3 years,Less than High School,3667
"25 to 34 Years, Both Sexes",1995,41388,High School: 4 years,High School,14061
"25 to 34 Years, Both Sexes",1995,41388,College: 1 to 3 years,Some College,11659
"25 to 34 Years, Both Sexes",1995,41388,College: 4 years or more,College Degree,10342
"25 to 34 Years, Both Sexes",1994,41946,Elementary: 0 to 4 years,Less than High School,367
"25 to 34 Years, Both Sexes",1994,41946,Elementary: 5 to 8 years,Less than High School,1297
"25 to 34 Years, Both Sexes",1994,41946,High School: 1 to 3 years,Less than High School,4057
"25 to 34 Years, Both Sexes",1994,41946,High School: 4 years,High School,14483
"25 to 34 Years, Both Sexes",1994,41946,College: 1 to 3 years,Some College,11913
"25 to 34 Years, Both Sexes",1994,41946,College: 4 years or more,College Degree,9829
"25 to 34 Years, Both Sexes",1993,41864,Elementary: 0 to 4 years,Less than High School,382
"25 to 34 Years, Both Sexes",1993,41864,Elementary: 5 to 8 years,Less than High School,1223
"25 to 34 Years, Both Sexes",1993,41864,High School: 1 to 3 years,Less than High School,3894
"25 to 34 Years, Both Sexes",1993,41864,High School: 4 years,High School,15036
"25 to 34 Years, Both Sexes",1993,41864,College: 1 to 3 years,Some College,11361
"25 to 34 Years, Both Sexes",1993,41864,College: 4 years or more,College Degree,9968
"25 to 34 Years, Both Sexes",1992,42493,Elementary: 0 to 4 years,Less than High School,433
"25 to 34 Years, Both Sexes",1992,42493,Elementary: 5 to 8 years,Less than High School,1250
"25 to 34 Years, Both Sexes",1992,42493,High School: 1 to 3 years,Less than High School,4071
"25 to 34 Years, Both Sexes",1992,42493,High School: 4 years,High School,16021
"25 to 34 Years, Both Sexes",1992,42493,College: 1 to 3 years,Some College,10860
"25 to 34 Years, Both Sexes",1992,42493,College: 4 years or more,College Degree,9861
"25 to 34 Years, Both Sexes",1991,42905,Elementary: 0 to 4 years,Less than High School,465
"25 to 34 Years, Both Sexes",1991,42905,Elementary: 5 to 8 years,Less than High School,1322
"25 to 34 Years, Both Sexes",1991,42905,High School: 1 to 3 years,Less than High School,4178
"25 to 34 Years, Both Sexes",1991,42905,High School: 4 years,High School,17503
"25 to 34 Years, Both Sexes",1991,42905,College: 1 to 3 years,Some College,9283
"25 to 34 Years, Both Sexes",1991,42905,College: 4 years or more,College Degree,10153
"25 to 34 Years, Both Sexes",1990,43240,Elementary: 0 to 4 years,Less than High School,505
"25 to 34 Years, Both Sexes",1990,43240,Elementary: 5 to 8 years,Less than High School,1413
"25 to 34 Years, Both Sexes",1990,43240,High School: 1 to 3 years,Less than High School,4041
"25 to 34 Years, Both Sexes",1990,43240,High School: 4 years,High School,17635
"25 to 34 Years, Both Sexes",1990,43240,College: 1 to 3 years,Some College,9320
"25 to 34 Years, Both Sexes",1990,43240,College: 4 years or more,College Degree,10326
"25 to 34 Years, Both Sexes",1989,43240,Elementary: 0 to 4 years,Less than High School,446
"25 to 34 Years, Both Sexes",1989,43240,Elementary: 5 to 8 years,Less than High School,1352
"25 to 34 Years, Both Sexes",1989,43240,High School: 1 to 3 years,Less than High School,4013
"25 to 34 Years, Both Sexes",1989,43240,High School: 4 years,High School,17901
"25 to 34 Years, Both Sexes",1989,43240,College: 1 to 3 years,Some College,9072
"25 to 34 Years, Both Sexes",1989,43240,College: 4 years or more,College Degree,10454
"25 to 34 Years, Both Sexes",1988,42953,Elementary: 0 to 4 years,Less than High School,430
"25 to 34 Years, Both Sexes",1988,42953,Elementary: 5 to 8 years,Less than High School,1308
"25 to 34 Years, Both Sexes",1988,42953,High School: 1 to 3 years,Less than High School,4095
"25 to 34 Years, Both Sexes",1988,42953,High School: 4 years,High School,17887
"25 to 34 Years, Both Sexes",1988,42953,College: 1 to 3 years,Some College,9076
"25 to 34 Years, Both Sexes",1988,42953,College: 4 years or more,College Degree,10155
"25 to 34 Years, Both Sexes",1987,42635,Elementary: 0 to 4 years,Less than High School,390
"25 to 34 Years, Both Sexes",1987,42635,Elementary: 5 to 8 years,Less than High School,1360
"25 to 34 Years, Both Sexes",1987,42635,High School: 1 to 3 years,Less than High School,3995
"25 to 34 Years, Both Sexes",1987,42635,High School: 4 years,High School,17539
"25 to 34 Years, Both Sexes",1987,42635,College: 1 to 3 years,Some College,9157
"25 to 34 Years, Both Sexes",1987,42635,College: 4 years or more,College Degree,10196
"25 to 34 Years, Both Sexes",1986,42053,Elementary: 0 to 4 years,Less than High School,387
"25 to 34 Years, Both Sexes",1986,42053,Elementary: 5 to 8 years,Less than High School,1359
"25 to 34 Years, Both Sexes",1986,42053,High School: 1 to 3 years,Less than High School,3797
"25 to 34 Years, Both Sexes",1986,42053,High School: 4 years,High School,17311
"25 to 34 Years, Both Sexes",1986,42053,College: 1 to 3 years,Some College,9104
"25 to 34 Years, Both Sexes",1986,42053,College: 4 years or more,College Degree,10094
"25 to 34 Years, Both Sexes",1985,40858,Elementary: 0 to 4 years,Less than High School,362
"25 to 34 Years, Both Sexes",1985,40858,Elementary: 5 to 8 years,Less than High School,1328
"25 to 34 Years, Both Sexes",1985,40858,High School: 1 to 3 years,Less than High School,3703
"25 to 34 Years, Both Sexes",1985,40858,High School: 4 years,High School,16748
"25 to 34 Years, Both Sexes",1985,40858,College: 1 to 3 years,Some College,8980
"25 to 34 Years, Both Sexes",1985,40858,College: 4 years or more,College Degree,9737
"25 to 34 Years, Both Sexes",1984,40173,Elementary: 0 to 4 years,Less than High School,404
"25 to 34 Years, Both Sexes",1984,40173,Elementary: 5 to 8 years,Less than High School,1371
"25 to 34 Years, Both Sexes",1984,40173,High School: 1 to 3 years,Less than High School,3638
"25 to 34 Years, Both Sexes",1984,40173,High School: 4 years,High School,16431
"25 to 34 Years, Both Sexes",1984,40173,College: 1 to 3 years,Some College,8555
"25 to 34 Years, Both Sexes",1984,40173,College: 4 years or more,College Degree,9771
"25 to 34 Years, Both Sexes",1983,39342,Elementary: 0 to 4 years,Less than High School,376
"25 to 34 Years, Both Sexes",1983,39342,Elementary: 5 to 8 years,Less than High School,1324
"25 to 34 Years, Both Sexes",1983,39342,High School: 1 to 3 years,Less than High School,3664
"25 to 34 Years, Both Sexes",1983,39342,High School: 4 years,High School,15804
"25 to 34 Years, Both Sexes",1983,39342,College: 1 to 3 years,Some College,8567
"25 to 34 Years, Both Sexes",1983,39342,College: 4 years or more,College Degree,9605
"25 to 34 Years, Both Sexes",1982,38703,Elementary: 0 to 4 years,Less than High School,337
"25 to 34 Years, Both Sexes",1982,38703,Elementary: 5 to 8 years,Less than High School,1371
"25 to 34 Years, Both Sexes",1982,38703,High School: 1 to 3 years,Less than High School,3598
"25 to 34 Years, Both Sexes",1982,38703,High School: 4 years,High School,15893
"25 to 34 Years, Both Sexes",1982,38703,College: 1 to 3 years,Some College,8304
"25 to 34 Years, Both Sexes",1982,38703,College: 4 years or more,College Degree,9200
"25 to 34 Years, Both Sexes",1981,37828,Elementary: 0 to 4 years,Less than High School,337
"25 to 34 Years, Both Sexes",1981,37828,Elementary: 5 to 8 years,Less than High School,1428
"25 to 34 Years, Both Sexes",1981,37828,High School: 1 to 3 years,Less than High School,3665
"25 to 34 Years, Both Sexes",1981,37828,High School: 4 years,High School,15419
"25 to 34 Years, Both Sexes",1981,37828,College: 1 to 3 years,Some College,8198
"25 to 34 Years, Both Sexes",1981,37828,College: 4 years or more,College Degree,8782
"25 to 34 Years, Both Sexes",1980,36615,Elementary: 0 to 4 years,Less than High School,362
"25 to 34 Years, Both Sexes",1980,36615,Elementary: 5 to 8 years,Less than High School,1424
"25 to 34 Years, Both Sexes",1980,36615,High School: 1 to 3 years,Less than High School,3571
"25 to 34 Years, Both Sexes",1980,36615,High School: 4 years,High School,14481
"25 to 34 Years, Both Sexes",1980,36615,College: 1 to 3 years,Some College,7942
"25 to 34 Years, Both Sexes",1980,36615,College: 4 years or more,College Degree,8836
"25 to 34 Years, Both Sexes",1979,34053,Elementary: 0 to 4 years,Less than High School,370
"25 to 34 Years, Both Sexes",1979,34053,Elementary: 5 to 8 years,Less than High School,1381
"25 to 34 Years, Both Sexes",1979,34053,High School: 1 to 3 years,Less than High School,3452
"25 to 34 Years, Both Sexes",1979,34053,High School: 4 years,High School,13338
"25 to 34 Years, Both Sexes",1979,34053,College: 1 to 3 years,Some College,7415
"25 to 34 Years, Both Sexes",1979,34053,College: 4 years or more,College Degree,8096
"25 to 34 Years, Both Sexes",1978,33120,Elementary: 0 to 4 years,Less than High School,325
"25 to 34 Years, Both Sexes",1978,33120,Elementary: 5 to 8 years,Less than High School,1459
"25 to 34 Years, Both Sexes",1978,33120,High School: 1 to 3 years,Less than High School,3515
"25 to 34 Years, Both Sexes",1978,33120,High School: 4 years,High School,12993
"25 to 34 Years, Both Sexes",1978,33120,College: 1 to 3 years,Some College,7008
"25 to 34 Years, Both Sexes",1978,33120,College: 4 years or more,College Degree,7821
"25 to 34 Years, Both Sexes",1977,32284,Elementary: 0 to 4 years,Less than High School,269
"25 to 34 Years, Both Sexes",1977,32284,Elementary: 5 to 8 years,Less than High School,1383
"25 to 34 Years, Both Sexes",1977,32284,High School: 1 to 3 years,Less than High School,3715
"25 to 34 Years, Both Sexes",1977,32284,High School: 4 years,High School,12845
"25 to 34 Years, Both Sexes",1977,32284,College: 1 to 3 years,Some College,6398
"25 to 34 Years, Both Sexes",1977,32284,College: 4 years or more,College Degree,7676
"25 to 34 Years, Both Sexes",1976,31148,Elementary: 0 to 4 years,Less than High School,247
"25 to 34 Years, Both Sexes",1976,31148,Elementary: 5 to 8 years,Less than High School,1508
"25 to 34 Years, Both Sexes",1976,31148,High School: 1 to 3 years,Less than High School,3619
"25 to 34 Years, Both Sexes",1976,31148,High School: 4 years,High School,12920
"25 to 34 Years, Both Sexes",1976,31148,College: 1 to 3 years,Some College,5813
"25 to 34 Years, Both Sexes",1976,31148,College: 4 years or more,College Degree,7041
"25 to 34 Years, Both Sexes",1975,30092,Elementary: 0 to 4 years,Less than High School,313
"25 to 34 Years, Both Sexes",1975,30092,Elementary: 5 to 8 years,Less than High School,1644
"25 to 34 Years, Both Sexes",1975,30092,High School: 1 to 3 years,Less than High School,3743
"25 to 34 Years, Both Sexes",1975,30092,High School: 4 years,High School,12544
"25 to 34 Years, Both Sexes",1975,30092,College: 1 to 3 years,Some College,5403
"25 to 34 Years, Both Sexes",1975,30092,College: 4 years or more,College Degree,6443
"25 to 34 Years, Both Sexes",1974,28972,Elementary: 0 to 4 years,Less than High School,352
"25 to 34 Years, Both Sexes",1974,28972,Elementary: 5 to 8 years,Less than High School,1654
"25 to 34 Years, Both Sexes",1974,28972,High School: 1 to 3 years,Less than High School,3763
"25 to 34 Years, Both Sexes",1974,28972,High School: 4 years,High School,12362
"25 to 34 Years, Both Sexes",1974,28972,College: 1 to 3 years,Some College,5056
"25 to 34 Years, Both Sexes",1974,28972,College: 4 years or more,College Degree,5785
"25 to 34 Years, Both Sexes",1973,27793,Elementary: 0 to 4 years,Less than High School,333
"25 to 34 Years, Both Sexes",1973,27793,Elementary: 5 to 8 years,Less than High School,1850
"25 to 34 Years, Both Sexes",1973,27793,High School: 1 to 3 years,Less than High School,3915
"25 to 34 Years, Both Sexes",1973,27793,High School: 4 years,High School,12194
"25 to 34 Years, Both Sexes",1973,27793,College: 1 to 3 years,Some College,4454
"25 to 34 Years, Both Sexes",1973,27793,College: 4 years or more,College Degree,5047
"25 to 34 Years, Both Sexes",1972,26517,Elementary: 0 to 4 years,Less than High School,285
"25 to 34 Years, Both Sexes",1972,26517,Elementary: 5 to 8 years,Less than High School,1791
"25 to 34 Years, Both Sexes",1972,26517,High School: 1 to 3 years,Less than High School,3981
"25 to 34 Years, Both Sexes",1972,26517,High School: 4 years,High School,11635
"25 to 34 Years, Both Sexes",1972,26517,College: 1 to 3 years,Some College,4090
"25 to 34 Years, Both Sexes",1972,26517,College: 4 years or more,College Degree,4734
"25 to 34 Years, Both Sexes",1971,25545,Elementary: 0 to 4 years,Less than High School,327
"25 to 34 Years, Both Sexes",1971,25545,Elementary: 5 to 8 years,Less than High School,2011
"25 to 34 Years, Both Sexes",1971,25545,High School: 1 to 3 years,Less than High School,3986
"25 to 34 Years, Both Sexes",1971,25545,High School: 4 years,High School,11232
"25 to 34 Years, Both Sexes",1971,25545,College: 1 to 3 years,Some College,3822
"25 to 34 Years, Both Sexes",1971,25545,College: 4 years or more,College Degree,4169
"25 to 34 Years, Both Sexes",1970,24865,Elementary: 0 to 4 years,Less than High School,329
"25 to 34 Years, Both Sexes",1970,24865,Elementary: 5 to 8 years,Less than High School,1937
"25 to 34 Years, Both Sexes",1970,24865,High School: 1 to 3 years,Less than High School,4251
"25 to 34 Years, Both Sexes",1970,24865,High School: 4 years,High School,10929
"25 to 34 Years, Both Sexes",1970,24865,College: 1 to 3 years,Some College,3491
"25 to 34 Years, Both Sexes",1970,24865,College: 4 years or more,College Degree,3926
"25 to 34 Years, Both Sexes",1969,24072,Elementary: 0 to 4 years,Less than High School,359
"25 to 34 Years, Both Sexes",1969,24072,Elementary: 5 to 8 years,Less than High School,2086
"25 to 34 Years, Both Sexes",1969,24072,High School: 1 to 3 years,Less than High School,4140
"25 to 34 Years, Both Sexes",1969,24072,High School: 4 years,High School,10592
"25 to 34 Years, Both Sexes",1969,24072,College: 1 to 3 years,Some College,3202
"25 to 34 Years, Both Sexes",1969,24072,College: 4 years or more,College Degree,3693
"25 to 34 Years, Both Sexes",1968,23285,Elementary: 0 to 4 years,Less than High School,350
"25 to 34 Years, Both Sexes",1968,23285,Elementary: 5 to 8 years,Less than High School,2246
"25 to 34 Years, Both Sexes",1968,23285,High School: 1 to 3 years,Less than High School,4129
"25 to 34 Years, Both Sexes",1968,23285,High School: 4 years,High School,10157
"25 to 34 Years, Both Sexes",1968,23285,College: 1 to 3 years,Some College,2989
"25 to 34 Years, Both Sexes",1968,23285,College: 4 years or more,College Degree,3413
"25 to 34 Years, Both Sexes",1967,22388,Elementary: 0 to 4 years,Less than High School,319
"25 to 34 Years, Both Sexes",1967,22388,Elementary: 5 to 8 years,Less than High School,2293
"25 to 34 Years, Both Sexes",1967,22388,High School: 1 to 3 years,Less than High School,4017
"25 to 34 Years, Both Sexes",1967,22388,High School: 4 years,High School,9645
"25 to 34 Years, Both Sexes",1967,22388,College: 1 to 3 years,Some College,2946
"25 to 34 Years, Both Sexes",1967,22388,College: 4 years or more,College Degree,3169
"25 to 34 Years, Both Sexes",1966,22023,Elementary: 0 to 4 years,Less than High School,430
"25 to 34 Years, Both Sexes",1966,22023,Elementary: 5 to 8 years,Less than High School,2208
"25 to 34 Years, Both Sexes",1966,22023,High School: 1 to 3 years,Less than High School,4158
"25 to 34 Years, Both Sexes",1966,22023,High School: 4 years,High School,9546
"25 to 34 Years, Both Sexes",1966,22023,College: 1 to 3 years,Some College,2647
"25 to 34 Years, Both Sexes",1966,22023,College: 4 years or more,College Degree,3037
"25 to 34 Years, Both Sexes",1965,21980,Elementary: 0 to 4 years,Less than High School,543
"25 to 34 Years, Both Sexes",1965,21980,Elementary: 5 to 8 years,Less than High School,2437
"25 to 34 Years, Both Sexes",1965,21980,High School: 1 to 3 years,Less than High School,4058
"25 to 34 Years, Both Sexes",1965,21980,High School: 4 years,High School,9500
"25 to 34 Years, Both Sexes",1965,21980,College: 1 to 3 years,Some College,2561
"25 to 34 Years, Both Sexes",1965,21980,College: 4 years or more,College Degree,2880
"25 to 34 Years, Both Sexes",1964,21997,Elementary: 0 to 4 years,Less than High School,502
"25 to 34 Years, Both Sexes",1964,21997,Elementary: 5 to 8 years,Less than High School,2591
"25 to 34 Years, Both Sexes",1964,21997,High School: 1 to 3 years,Less than High School,4176
"25 to 34 Years, Both Sexes",1964,21997,High School: 4 years,High School,9370
"25 to 34 Years, Both Sexes",1964,21997,College: 1 to 3 years,Some College,2529
"25 to 34 Years, Both Sexes",1964,21997,College: 4 years or more,College Degree,2830
"25 to 34 Years, Both Sexes",1962,22130,Elementary: 0 to 4 years,Less than High School,597
"25 to 34 Years, Both Sexes",1962,22130,Elementary: 5 to 8 years,Less than High School,2936
"25 to 34 Years, Both Sexes",1962,22130,High School: 1 to 3 years,Less than High School,4371
"25 to 34 Years, Both Sexes",1962,22130,High School: 4 years,High School,8815
"25 to 34 Years, Both Sexes",1962,22130,College: 1 to 3 years,Some College,2552
"25 to 34 Years, Both Sexes",1962,22130,College: 4 years or more,College Degree,2859
"25 to 34 Years, Both Sexes",1960,22821,Elementary: 0 to 4 years,Less than High School,709
"25 to 34 Years, Both Sexes",1960,22821,Elementary: 5 to 8 years,Less than High School,3738
"25 to 34 Years, Both Sexes",1960,22821,High School: 1 to 3 years,Less than High School,5135
"25 to 34 Years, Both Sexes",1960,22821,High School: 4 years,High School,8166
"25 to 34 Years, Both Sexes",1960,22821,College: 1 to 3 years,Some College,2572
"25 to 34 Years, Both Sexes",1960,22821,College: 4 years or more,College Degree,2499
"25 to 34 Years, Both Sexes",1959,22922,Elementary: 0 to 4 years,Less than High School,761
"25 to 34 Years, Both Sexes",1959,22922,Elementary: 5 to 8 years,Less than High School,3348
"25 to 34 Years, Both Sexes",1959,22922,High School: 1 to 3 years,Less than High School,4741
"25 to 34 Years, Both Sexes",1959,22922,High School: 4 years,High School,8979
"25 to 34 Years, Both Sexes",1959,22922,College: 1 to 3 years,Some College,2398
"25 to 34 Years, Both Sexes",1959,22922,College: 4 years or more,College Degree,2480
"25 to 34 Years, Both Sexes",1957,23437,Elementary: 0 to 4 years,Less than High School,750
"25 to 34 Years, Both Sexes",1957,23437,Elementary: 5 to 8 years,Less than High School,3971
"25 to 34 Years, Both Sexes",1957,23437,High School: 1 to 3 years,Less than High School,4965
"25 to 34 Years, Both Sexes",1957,23437,High School: 4 years,High School,8927
"25 to 34 Years, Both Sexes",1957,23437,College: 1 to 3 years,Some College,2275
"25 to 34 Years, Both Sexes",1957,23437,College: 4 years or more,College Degree,2351
"25 to 34 Years, Both Sexes",1952,23138,Elementary: 0 to 4 years,Less than High School,844
"25 to 34 Years, Both Sexes",1952,23138,Elementary: 5 to 8 years,Less than High School,4362
"25 to 34 Years, Both Sexes",1952,23138,High School: 1 to 3 years,Less than High School,4898
"25 to 34 Years, Both Sexes",1952,23138,High School: 4 years,High School,8620
"25 to 34 Years, Both Sexes",1952,23138,College: 1 to 3 years,Some College,2220
"25 to 34 Years, Both Sexes",1952,23138,College: 4 years or more,College Degree,2052
"25 to 34 Years, Both Sexes",1950,23626,Elementary: 0 to 4 years,Less than High School,1147
"25 to 34 Years, Both Sexes",1950,23626,Elementary: 5 to 8 years,Less than High School,5308
"25 to 34 Years, Both Sexes",1950,23626,High School: 1 to 3 years,Less than High School,5050
"25 to 34 Years, Both Sexes",1950,23626,High School: 4 years,High School,7660
"25 to 34 Years, Both Sexes",1950,23626,College: 1 to 3 years,Some College,2198
"25 to 34 Years, Both Sexes",1950,23626,College: 4 years or more,College Degree,1252
"25 to 34 Years, Both Sexes",1947,22627,Elementary: 0 to 4 years,Less than High School,1015
"25 to 34 Years, Both Sexes",1947,22627,Elementary: 5 to 8 years,Less than High School,5523
"25 to 34 Years, Both Sexes",1947,22627,High School: 1 to 3 years,Less than High School,4997
"25 to 34 Years, Both Sexes",1947,22627,High School: 4 years,High School,7630
"25 to 34 Years, Both Sexes",1947,22627,College: 1 to 3 years,Some College,1908
"25 to 34 Years, Both Sexes",1947,22627,College: 4 years or more,College Degree,1378
"25 to 34 Years, Both Sexes",1940,21339,Elementary: 0 to 4 years,Less than High School,1377
"25 to 34 Years, Both Sexes",1940,21339,Elementary: 5 to 8 years,Less than High School,7676
"25 to 34 Years, Both Sexes",1940,21339,High School: 1 to 3 years,Less than High School,4553
"25 to 34 Years, Both Sexes",1940,21339,High School: 4 years,High School,4702
